Dates,IHG LN Equity,DNLM LN Equity,GRG LN Equity,TRIG LN Equity,RDSB LN Equity,INVP LN Equity,PRU LN Equity,LLOY LN Equity,SN/ LN Equity,GSK LN Equity,AZN LN Equity,SMIN LN Equity,KNOS LN Equity,FSKY LN Equity,INRG LN Equity,RTWO LN Equity,MNDI LN Equity,GLEN LN Equity,CRH LN Equity,GLRE LN Equity,BLND LN Equity,UTG LN Equity,PNN LN Equity
8/27/2020,4430,1391,1440,135.497,1070.2,148.05,1199,28.2,1520,1494,8417,1430.5,1114,2614,735.25,66.07,1484.5,167.76,2877,31.02,363.5,970.5,1521.749
8/28/2020,4406,1429,1417,136.094,1063,147.35,1221.5,28.35,1521.5,1472,8340,1402,1120,2606.5,740.5,66.29,1461,169.18,2830,31.17,365.7,967.5,1508.999
09/01/2020,4377,1491,1343,136.094,1041.2,145.1,1194,26.94,1512,1445.8,8197,1415,1080,2641,738,66.25,1453.5,172.84,2827,31.05,350.6,951,1503.749
09/02/2020,4455,1513,1364,135.895,1031,140.45,1184,27.015,1560,1489.2,8292,1467,1080,2660.75,743,66.69,1470,174.38,2816,31.175,350.6,967,1577.249
09/03/2020,4452,1437,1341,133.707,1039.8,137.1,1162.5,26.88,1513,1470.8,8121,1412,1012,2549.25,708.75,65.275,1438,166.74,2726,31.215,358.8,952.5,1553.249
09/04/2020,4427,1427,1359,134.105,1035.6,140.7,1135,26.94,1492,1435.2,7970,1379.5,1038,2421.5,685,63.805,1439,171.44,2740,30.785,352.8,948,1505.249
09/07/2020,4484,1481,1395,133.707,1056.4,140.4,1162.5,26.965,1530.5,1496,8280,1410,1008,2476.75,712.625,65.33,1455,175.32,2783,31.36,351.8,957,1556.249
09/08/2020,4477,1507,1399,133.309,1023.6,140.45,1159,26.46,1553,1492.8,8348,1414,1006,2484.75,707.25,63.895,1472,174.3,2798,30.885,354.3,975,1552.499
09/09/2020,4356,1463,1350,132.712,1041.6,146.2,1159.5,26.475,1565.5,1532.6,8386,1422,1014,2513.5,725.5,64.24,1493,174.98,2866,31.075,353.9,969.5,1559.999
09/10/2020,4419,1341,1344,133.309,1041.8,145,1175.5,26.42,1578.5,1517,8335,1415,1022,2572,734.25,64.71,1489,174.78,2888,30.93,342.4,961.5,1544.999
09/11/2020,4363,1405,1323,132.712,1032,145.4,1177,25.88,1571.5,1523.8,8429,1422,1004,2524,730.25,63.445,1516,182,2928,30.635,338.7,956.5,1544.999
9/14/2020,4422,1393,1301,133.508,1020.2,141.5,1169.5,26.365,1567,1515.6,8400,1425.5,1024,2528.75,736.5,64.475,1513.5,181.64,2936,31.105,347.3,959.5,1539.749
9/15/2020,4429,1396,1291,134.304,1032.6,136.15,1187.5,26.155,1577.5,1524.8,8605,1459,1032,2534,759,65.335,1542.5,186.04,3031,31.63,351.5,947.5,1567.499
9/16/2020,4389,1400,1283,133.309,1025.4,140.25,1186,26.585,1576,1509.4,8542,1475,1006,2535.25,761,65.97,1580.5,185.8,3020,31.83,358.5,933.5,1537.499
9/17/2020,4331,1364,1263,133.309,1011.4,138.35,1181,26.255,1549.5,1520.8,8648,1462.5,976,2469.75,740.5,65.27,1578.5,185,2995,31.56,365.8,941.5,1529.249
9/18/2020,4137,1318,1211,131.518,990.2,139.45,1170,25.24,1542.5,1525.6,8746,1444.5,1016,2465.5,746.125,65.425,1589.5,180.6,2928,30.965,350,928,1590.749
9/21/2020,3940,1279,1156,128.334,965.5,130.4,1100,23.98,1450,1487.6,8612,1370.5,990,2473.5,730.25,62.38,1520.5,173.14,2761,29.64,332.7,865,1529.999
